India Inflation Rate - Historical Data,,
Year,Inflation Rate (%),Annual Change
2020,0.07?,0.03?
2019,0.04?,-0.00?
2018,0.04?,0.01?
2017,0.03?,-0.02?
2016,0.05?,0.00?
2015,0.05?,-0.02?
2014,0.07?,-0.04?
2013,0.11?,0.02?
2012,0.09?,0.00?
2011,0.09?,-0.03?
2010,0.12?,0.01?
2009,0.11?,0.03?
2008,0.08?,0.02?
2007,0.06?,0.01?
2006,0.06?,0.02?
2005,0.04?,0.00?
2004,0.04?,-0.00?
2003,0.04?,-0.00?
2002,0.04?,0.01?
2001,0.04?,-0.00?
2000,0.04?,-0.01?
1999,0.05?,-0.09?
1998,0.13?,0.06?
1997,0.07?,-0.02?
1996,0.09?,-0.01?
1995,0.10?,-0.00?
1994,0.10?,0.04?
1993,0.06?,-0.05?
1992,0.12?,-0.02?
1991,0.14?,0.05?
1990,0.09?,0.02?
1989,0.07?,-0.02?
1988,0.09?,0.01?
1987,0.09?,0.00?
1986,0.09?,0.03?
1985,0.06?,-0.03?
1984,0.08?,-0.04?
1983,0.12?,0.04?
1982,0.08?,-0.05?
1981,0.13?,0.02?
1980,0.11?,0.05?
1979,0.06?,0.04?
1978,0.03?,-0.06?
1977,0.08?,0.16?
1976,-0.08?,-0.13?
1975,0.06?,-0.23?
1974,0.29?,0.12?
1973,0.17?,0.11?
1972,0.06?,0.03?
1971,0.03?,-0.02?
1970,0.05?,0.06?
1969,-0.01?,-0.04?
1968,0.03?,-0.10?
1967,0.13?,0.02?
1966,0.11?,0.01?
1965,0.09?,-0.04?
1964,0.13?,0.10?
1963,0.03?,-0.01?
1962,0.04?,0.02?
1961,0.02?,-0.00?
1960,0.02?,-0.00?
